Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft
52,ATL,Rudy Macklin,LSU,3.0,160.0,2752.0,1030.0,464.0,121.0,0.449,0.0,0.7759999999999999,17.2,6.4,2.9,0.8,3.2,0.055999999999999994,-3.5,-1.1,1981
53,OKC,Mark Radford,Oregon State,2.0,97.0,808.0,347.0,76.0,161.0,0.507,0.28600000000000003,0.45799999999999996,8.3,3.6,0.8,1.7,0.4,0.023,-2.7,-0.1,1981
54,LAC,Jim Smith,Ohio State,2.0,76.0,876.0,219.0,187.0,46.0,0.514,0.0,0.461,11.5,2.9,2.5,0.6,0.7,0.037000000000000005,-3.1,-0.2,1981
55,CLE,Mickey Dillard,Florida State,1.0,33.0,221.0,73.0,15.0,34.0,0.36700000000000005,0.0,0.652,6.7,2.2,0.5,1.0,-0.2,-0.051,-5.8,-0.3,1981
56,GSW,Carlton Neverson,Pitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
57,NYK,Frank Brickowski,Penn State,12.0,731.0,16278.0,7302.0,3410.0,1384.0,0.519,0.324,0.74,22.3,10.0,4.7,1.9,29.8,0.08800000000000001,-1.1,3.7,1981
58,SAC,Curtis Berry,Missouri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
59,CLE,Russell Bowers,American University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
60,IND,Purvis Miller,USC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
61,POR,Pétur Guðmundsson,Washington,4.0,150.0,2060.0,693.0,563.0,153.0,0.494,0.5,0.754,13.7,4.6,3.8,1.0,2.1,0.05,-3.5,-0.8,1981
62,PHO,Sam Clancy,Pitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
63,NYK,Wayne McKoy,St. John's,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
64,SAS,Tom Baker,Eastern Kentucky University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
65,LAL,Ron Cornelius,University of the Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
66,PHO,Craig Dykema,Cal State Long Beach,1.0,32.0,103.0,43.0,12.0,15.0,0.45899999999999996,0.5,0.778,3.2,1.3,0.4,0.5,0.2,0.095,-3.4,0.0,1981
67,MIL,Mark Smith,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
68,PHI,Ernest Graham,Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
69,BOS,John Johnson,Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
70,DAL,Eddie Moss,Syracuse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
71,DET,John May,University of South Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
72,BKN,Edmund Sherod,VCU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
73,UTA,George Torres,Southern Nazarene University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
74,CLE,Ethan Martin,LSU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
75,ATL,Kevin Figaro,Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
